PaperID,Authors,Article Title,Year,Source title,Abstract
264,Sasamori K.; Hama H.,History of gas-insulated switchgear in Japan on transition of technological development and practical application - The second report: Expansion of GiS application,2018,IEEJ Transactions on Fundamentals and Materials,"Gas-insulated switchgear (GIS) has been widely applied since 1968 in Japan due to the compactness and high reliability, and has the brilliant history during this half century. This paper is the second report of GIS history following the first one which described the transition of technological development and practical application. The second report mainly deals with the wide spread and enlargement of GIS application from the middle of 1970s to the end of 1980s. First, progress of GIS construction such as three phase enclosed and combined GIS, and basic technologies which allowed these progress are mentioned. Secondly, downsized and improved performance of GIS equipment including GCB and MOSA are explained, and typical examples of GIS application which reflected these technical progress are introduced. Finally, the authors try to discuss the differences between domestic and overseas GIS technologies in terms of the downsizing process, and mention how these technologies and products in the second stage brought impacts on the next technologies and progress of GIS in 1990s. © 2018 The Institute of Electrical Engineers of Japan."
265,Li P.; Qu Y.; Wu T.; Li G.; Pu Z.; Fang C.; Ding C.,Influence of Electrode Types on Arcing Characteristics and Pressure Rise Due to Internal Short-circuit Arcing in a Closed Container; [电极类型对封闭容器内部短路燃弧特性及压力升的影响],2019,Dianwang Jishu/Power System Technology,"Internal short-circuit arcing faults in the switchgear happen occasionally, and huge energy released by the arc in a short time makes the pressure rise rapidly in the compartment, bringing a great threat to the safety of equipment, building and operation personnel. The arc tests in actual switchgear are time-consuming and highly costing, so the internal short-circuit arcing tests in a simulated closed container become a main way to study this problem. In this paper, the short-circuit arcing tests ofrod-rod and plane-plane gaps in a closed container are carried outbytheLC oscillation circuit, and the influence of electrode types on the arcing characteristics and pressure rise (relative pressure) in a closed container is analyzed. Results show that, the arc voltage is related to the factors, such as pressure rise, airflow, electrode type and so on. The value of arc voltage is different from the open environment. The ranges of the arc voltage gradient for rod-rod and plane-plane gaps are 18. 8~23. 8 V/cm and 15. 9~19. 6 V/cm, respectively. For plane-plane gap, the arc voltage has big fluctuation and showing a large degree of randomness, whichis smaller than the rod-rod gap. Under the same gap distance and arc energy, the pressure rise caused by the arcing of plane-plane gap is greater thanthe rod-rod gap. © 2019, Power System Technology Press. All right reserved."
266,Gu W.; Feng D.; Guo Z.,Development of High-Speed Mechanical Switchgear with Vacuum Interruption Technology and Application in HVDC Circuit Breaker,2019,"Proceedings of 2019 IEEE 3rd International Electrical and Energy Conference, CIEEC 2019","High-speed switchgear is an essential part of HVDC mechanical circuit breakers. Taking advantage of faster dielectric recovery of vacuum interrupter, DC current interruption can be achieved by vacuum interrupter driven by high-speed operating mechanism and artificial current zero supplied with high frequency commutation current. The current frequency of commutation branch and the mechanical characteristic of high-speed switchgear are studied to develop a 50kV breaking unit as a building block of HVDC circuit breaker. A safe interruption zone where DC current interruption can be successfully made within a range of current frequency and gap distance is found out. Based on the developed building block, a scheme of ±500kV HVDC mechanical circuit breaker with a series of high-speed switchgears is developed successfully. © 2019 IEEE."
267,Paucar M.A.; Amancha P.I.; Viera E.F.; San Antonio T.D.; Salazar D.M.,Implementation of a methodology to perform an energy audit with academic purpose,2017,International Journal of Applied Engineering Research,"This article proposes a standard methodology to implement a detailed energy audit as a tool to quantify the efficiency, executed in four phases: visual inspection, data collection, measurement on the electrical equipment, interpretation of results and analysis and comparison of data with the Ecuadorian Construction Standard NEC-11. The methodology is presented as an academic practice, to teach the engineering student to perform an energy diagnosis in any place or sector where electricity is consumed to encourage an environmental conscience associated with consumption. As part of the proposed method an audit in a Faculty’s engineering laboratory is performed, to adjust the proposed steps and verify their ability to detect the energy consumption, electrical distribution facilities and luminaries’ types. The audit application allowed to effectively determine the possible improvements that can be made to reduce the power consumption by means of capacitor bank installation to regulate the power factor, redistribution and change of lighting, fixed shade elements placement to avoid natural light glare, maintenance planning of electrical installations in poor conditions, and placing an insulator on the main switchboard. This is an example of some simple improvements for reducing electricity consumption and to optimizing the comfort for lab users. This exercise shows that the proposed methodology can quantify energy efficiency and is a good guide to consumption alternatives. © Research India Publications."
268,Xu C.; Muller M.,The development of high performance centrifugal compressor using CFD and other considerations,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","Air compression is one of the most important processes of air separation. Reliable design, higher performance, low noise, no resonant frequencies in the operating range and economic to manufacture are the goals of compressor design. Although CFD has been widely used in the compressor designs, there are many design considerations need to be addressed during the design. In this paper, the detailed design considerations for compressor configuration, power distribution for each stage, and possible field application issues are discussed in detail. The aerodynamic and structural optimization using CFD and FEA are performed to obtain a high efficiency and wide operating range compressor stage with for robust operation. The new compressor development process addressed in this paper provides the basic design guidance for future new compressor development. Copyright © 2017 ASME."
269,Patil V.C.; Ro P.I.,Comparative assessment of different types of ocean compressed air energy storage systems based on exergy analysis,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","Ocean compressed air energy storage (OCAES) is a promising large-scale energy storage concept. Different types of OCAES viz. - Diabatic, adiabatic and isothermal are possible based on the handling of heat in the system. In diabatic OCAES, compressed air is cooled in a cooler and heated using external heat source before transport to the expander. In Adiabatic OCAES, heat from the compressed air is stored in a thermal energy storage (TES) and reused to reheat compressed air before sending it to the expander. In Isothermal OCAES, air is compressed and expanded isothermally which results in the least compression work and highest expansion work. These OCAES configurations are assessed using exergy analysis in this paper. The exergy efficiency of individual components, exergy flow and overall efficiencies of diabatic, adiabatic and isothermal OCAES are presented. Results show that adiabatic OCAES shows improved efficiency over diabatic OCAES by storing thermal exergy of compressed air in TES and isothermal OCAES shows significantly higher efficiency over adiabatic and diabatic OCAES. Copyright © 2017 ASME."
270,Cai P.; Zhou M.; Xiang W.; Ni B.; Zuo W.; Wen J.,DC grid based on hybrid MMC and fast vacuum switch,2019,IET Conference Publications,"VSC-HVDC transmission grid with overhead lines has a good application prospect in the transmission and grid-connection of large-scale wind power and other renewable energy. Due to the rapid rise of DC current under DC line fault, DC circuit breaker with high speed and large capacity is generally used to isolate DC faults in the VSC-HVDC engineering. However, the manufacture of DC circuit breaker is difficult and costly, hindering the development of the DC power grid. So, the VSC-HVDC transmission grid based on hybrid MMC and fast vacuum switch is proposed. It makes full use of the control ability of hybrid MMC, proposing an active current limiting control strategy. The VSC-HVDC transmission grid can be switched to a new steady state quickly and flexibly. The power interruption time of the DC grid is shortened, which can improve the utilization of the DC grid. At the same time, the fast vacuum switches are installed in the DC line to replace the high-speed large-capacity DC circuit breaker, to reduce the construction cost of the DC power grid. Finally, simulations based on the PSCAD/EMTDC platform are executed to verify the correctness of this method. © 2019 Institution of Engineering and Technology. All rights reserved."
271,Jovcic D.,"High Voltage Direct Current Transmission: Converters, Systems and DC Grids, Second Edition",2019,"High Voltage Direct Current Transmission: Converters, Systems and DC Grids, Second Edition","Presents the latest developments in switchgear and DC/DC converters for DC grids, and includes substantially expanded material on MMC HVDC This newly updated edition covers all HVDC transmission technologies including Line Commutated Converter (LCC) HVDC; Voltage Source Converter (VSC) HVDC, and the latest VSC HVDC based on Modular Multilevel Converters (MMC), as well as the principles of building DC transmission grids. Featuring new material throughout, High Voltage Direct Current Transmission: Converters, Systems and DC Grids, 2nd Edition offers several new chapters/sections including one on the newest MMC converters. It also provides extended coverage of switchgear, DC grid protection and DC/DC converters following the latest developments on the market and in research projects. All three HVDC technologies are studied in a wide range of topics, including: the basic converter operating principles; calculation of losses; system modelling, including dynamic modelling; system control; HVDC protection, including AC and DC fault studies; and integration with AC systems and fundamental frequency analysis. The text includes: A chapter dedicated to hybrid and mechanical DC circuit breakers Half bridge and full bridge MMC: modelling, control, start-up and fault management A chapter dedicated to unbalanced operation and control of MMC HVDC The advancement of protection methods for DC grids Wideband and high-order modeling of DC cables Novel treatment of topics not found in similar books, including SimPowerSystems models and examples for all HVDC topologies hosted by the 1st edition companion site. High Voltage Direct Current Transmission: Converters, Systems and DC Grids, 2nd Edition serves as an ideal textbook for a graduate-level course or a professional development course. © 2019 John Wiley & Sons Ltd."
272,Yan L.; Nakatani Y.; Yamada M.; Abe T.; Kitaguchi K.; Ono Y.; Yamamoto K.; Munemasa J.,Evaluation and application of hard coatings for steam turbine,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","In order to improve solid particle erosion (SPE) resistance for steam turbine blades and nozzles, in corporation with Kobe Steel, Ltd., evaluation of hard coatings of TiN and TiAlN deposited by the Arc Ion Plating (AIP®) process was performed to verify applicability to an actual steam turbine. The results of high-temperature steam oxidation tests and room-temperature sand erosion tests showed that the TiAlN coating had hightemperature stability superior to that of the TiN coating, and erosion resistance far superior to that in the case of the conventional CrC thermal spray coating and boronizing treatment. High-temperature fatigue and creep tests showed that the characteristic strength of the blade material with the TiAlN coating was equal or superior to that of the base blade material. On the basis of the results of comprehensive evaluation, it was confirmed that the TiAlN hard coating has excellent applicability to an actual steam turbine and it was successfully applied to steam turbine blades of power plants in Japan. Copyright © 2017 ASME."
273,Levakin V.; Yefimova K.; Polyvoda S.; Iokst V.,Regulatory nuclear and radiation safety Requirements for NPP Power Supply Systems,2017,Nuclear and Radiation Safety,"The paper presents review of the requirements from the new regulation NP 306.2.205-2016 ""Requirements for Power Supply Systems Important to Safety of Nuclear Power Plants"" and recommendations of IAEA and WENRA for the construction of electrical systems important to safety of nuclear power plants. The research is focused on main differences of NP 306.2.205-2016 from standards that applied to NPP emergency power supply systems (PNAE G-9-026-90, PNAE G-9-027- 91) and which were cancelled in 2016. © Nuclear and Radiation Safety Journal, 2017."
274,Chen C.; Zhong X.; Xiao J.; Zhu Y.; Jiang J.,Performance monitoring of regenerative system based on dominant factor method,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","Safe and efficient operation of a power plant is the system designers' target. Regenerative system improves the Rankine Cycle efficiency of a power station. However, it is quite difficult to monitor the regenerative system's performance in an accurate, economical and real-time way at any operation load. There are two main problems about this. One is that most model based on numerical and statistics approaches cannot be explained by the actual operation mechanism of the actual process. The other is that most mechanism models in the past could not be used to monitor the system performance accurately at real-time. This paper focuses on solving these two problems and finds a better way to monitor the regenerative system's performance accurately in a real-time by the analysis of the mechanism models and numerical methods. It is called the dominant factor method. Two important parameters (characteristic parameter and dominant factor) and characteristic functions are introduced in this paper. Also, this paper described the analysis process and the model building process. In the paper, the mathematics model building process is based on a 1000MW unit's regenerative system. Characteristic functions are built based on the specific operating data of the power unit. Combing the general mechanism model and the characteristic function together, this paper builds up a regenerative system off-design mathematical model. First, this paper proved the model accuracy by computer simulation. Then, the models were used to predict the pressure of the piping outlet, the temperature of the outlet feedwater and drain water of heaters in a real-time by computers. The results show that the deviation rate between the theoretical predictions and the actual operation data is less than 0.25% during the whole operation load range. At last, in order to test the fault identification ability of this model, some real tests were done in this 1000MW power plant during the actual operation period. The performance changes are identified via the difference between the predict value and the real time value. The result of the tests shows that the performance's gradient change and sudden change could be found by the model result easily. In order to verify the adaptability of the model, it was used for another 300MW unit, and done some operation test. The results show that this method can also be used for the 300MW unit's regenerative system. And it can help the operator to recognize the fault heater. The results of this paper proved that the dominant factor method is feasible for performance monitoring of the regenerative system. It can be used to monitor and find the fault of the regenerative system at any operation load by an accurate and fast way in real-time. Copyright © 2017 ASME."
275,Zhou B.,Risk analysis of power-Gen gas turbines with gads outage data,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","According to FM Global proprietary data, power-gen gas turbine losses have consistently represented a dominant share of the overall equipment-based loss value over the past decade. Effective assessment of loss exposure or risk related to gas turbines has become and will continue to be a critical but challenging task for property insurers and their clients. Such systematic gas turbine risk assessment is a necessary step to develop strategies for turbine risk mitigation and loss prevention. This paper presents a study of outage data from the Generating Availability Data System (GADS) by the North American Electric Reliability Corporation (NERC). The risk of forced outages in turbines was evaluated in terms of outage days and number of outages per unit-year. In order to understand the drivers of the forced outages, the influence of variables including turbine age, capacity, type, loading characteristic, and event cause codes were analyzed by grouping the outage events based on the chosen values (or ranges of values) of these variables. A list of major findings related to the effect of these variables on the risk of forced outage is discussed. Copyright © 2017 ASME."
276,Shi Y.; Shen H.; Feng Y.; Cui L.,Design and Application of Wiring-free Transformation of Secondary Equipment in Switchgear Based on Plug and Play Technology,2018,"Proceedings of 2018 IEEE 2nd International Electrical and Energy Conference, CIEEC 2018","The secondary equipment in the switchgear has complex transformation period, difficult construction and long time consuming. How to improve the efficiency is a problem in the engineering transformation. To solve this problem, this paper adopts the ""plug and play"" design concept to realize the modular assembly of new equipment through the equipment framework, and to set the green terminal flange of original equipment at the rear of the module and complete the cable wiring to new equipment to achieve the prefabricated wiring of the cable during the on-site transformation. A quick transformation scheme for the wiring-free equipment is proposed. The scheme may significantly shorten the transformation time and improve the operation and maintenance efficiency, and the application effect of the scheme is verified combined with the engineering application of the 110kV substation. © 2018 IEEE."
277,Pina E.A.; Lozano M.A.; Serra L.M.,Multicriteria synthesis of trigeneration systems assisted with renewable energy sources and thermal energy storage,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","The increasing world energy demand as a result of society development brings forth a growing environmental concern. The use of high-efficiency alternative systems is becoming progressively more interesting due to economic reasons and regional incentives. The issue of finding the best configuration that minimizes total annual cost is not enough anymore, as the environmental concern has become one of the objectives in the synthesis of energy systems. The minimization of costs is often contradictory to the minimization of environmental impact. Multi-objective optimization tackles the conflicting objectives issue by providing a set of trade-off solutions, or Pareto solutions, that can be examined by the decision maker in order to choose the best configuration for the given scenario. The present work proposes a mixed integer linear programming model for the synthesis of a trigeneration system that must attend the electricity, heat, and cooling demands of a multifamily building complex in Zaragoza, Spain. The objective functions to be minimized are the overall annual costs and the overall annual CO2 emissions, considering investment, maintenance and operation costs. As a first approach, the single-objective configurations for each objective function are evaluated. Then, the Pareto frontier is obtained for the minimization of total annual costs and total annual CO2 emissions, allowing to obtain the best trade-off configuration, which brings results close to the optimal single objectives. It is worth mentioning that the treatment of the energy prices was simplified in order to keep on the same level of detail as energy CO2 emissions, which are given only on an annual basis. On the other hand, the optimization model developed can be further complicated in order to consider more complex situations. Copyright © 2017 ASME."
278,Li T.; Jia B.; Gu C.; Pan J.; Li X.; Pang X.; Gu L.; Gu H.; Zhu S.,Study on discharge location technology for 1100 kV GIS field AC withstand voltage test; [1100 kV GIS现场交流耐压试验放电定位技术研究],2018,Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,"Discharge location is a key issue and technical guarantee for field AC withstand voltage test of 1100 kV Gas Insulated Metal-enclosed Switchgear (GIS). In order to ensure the smooth processing of equipment defect inspection as well as the elimination of hidden fault, the discharge location technique for AC withstand voltage test of 1100 kV GIS is studied in this research. Firstly, the process of Ultra-High Voltage (UHV) withstand voltage test is introduced. Then concerning the characteristics of the discharge in the withstand voltage test, the feature and applicability of the existing discharge location methods are analyzed. A technique for accurate discharge location by considering comprehensive multi-information is proposed according to the actual location cases. Finally, the information contained in the ultrasonic detection signal is discussed emphatically, which proves that the location based on the signal strength and the oscillation duration has higher accuracy. This research provides some reference to the subsequent UHV project construction and the equipment manufacturers. © 2018, Power System Protection and Control Press. All right reserved."
279,Peilei F.; Hesong W.; Mingsheng Z.; Wenkui W.,Design and analysis of distributed photo-voltaic power station,2018,MATEC Web of Conferences,"After the location of the power station is determined, the construction scale of the solar grid connected photo-voltaic power station is mainly with the terrain conditions and the conditions of land use.The selection of solar cell components and installation methods, access to the power grid and other factors are related.In this paper, according to the existing construction conditions in the sewage plant, the area suitable for the layout of the solar cell array is selected.Accordmg to the structural characteristics of existing structures and the prediction of the power load in the sewage plant, the installed capacity of the plan is 4.9218MWp. A 10kV installed switch-gear station is built, and the 1 10kV outlet is connected to the total distribution room power station. The project is completed at once.Solar energy is converted to DC power through photo-voltaic array composed of PV modules. After three phase inverter (DC-AC) is converted to three-phase alternating current, it is converted to AC power that meets the requirements of public power grid and directly connected to the public power grid through the step-up transformer.The construction and operation of photo-voltaic power stations will not cause pollution to the environment, and can also provide some clean energy, which can reduce the use of fossil fuels such as coal. © The Authors, published by EDP Sciences 2018."
280,Bo Z.; Sang Z.; Lv X.; Weng Y.,Effect of mixture R600a/R601a on performance of radial turbine for low temperature waste heat,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","A 150kW organic working fluid radial turbine designed for the low temperature waste heat with temperature of 150 ∼ 200°C using R600a as working fluid was selected. Under the condition of same inlet temperature and rotational speed, the mixture R600a(iso-butane)/R601a(iso-pentane) with different compositions was adopted for the CFD numerical simulation to obtain the aerodynamic performance and the detailed flow of the organic working fluid radial turbine. The results show that the mixture R600a/R601a can broaden the output power range and increase the efficiency of the radial turbine compared with the pure working fluid. The output power of the organic working fluid radial turbine increases from 54.03kW to 129.6kW as the R600a composition increases from 0.1 to 0.9. The optimal composition of R600a/R601a was obtained for relatively higher efficiency of the organic working fluid radial turbine. The results can provide a reference for the selection of working fluid for radial turbine of the low temperature heat source Copyright © 2017 ASME."
281,Philpott D.; Qi L.,Solid-state fault current limiters for residential houses and commercial buildings,2019,IEEE Transactions on Industry Applications,This paper presents an overview and techno-economic feasibility study of solid-state fault current limiters (SSFCL) for low-voltage residential and commercial applications. An SSFCL is proposed to be installed upstream inside a conventional panelboard or load center. The simulation results demonstrate the effectiveness of utilizing SSFCL for residential houses and commercial buildings and the advantages of fast fault current limiting and great reduction of fault energy. Some physical design considerations are made for installing an SSFCL including their fault-current-limiting inductors inside a panelboard or load center. The proposed SSFCL solution potentially has best overall benefits compared to the conventional mechanical solution and other solid-state-based solutions. © 1972-2012 IEEE.
282,Li Y.; Yang T.,A GPSS based on active power signal and its effective frequency boundary,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","Low frequency oscillation is one of the most important factors that restrict the tie-line power flow of network. Its effective suppression is necessary to ensure safety and stability of the power system. The conventional power system stabilizer (PSS) is still insufficient in suppressing consider the frequency range and types of oscillation, so it is necessary to study the auxiliary suppression of the oscillation from the turbine side by using the electro-mechanical coupling theory. In this paper, a governorside power system stabilizer (GPSS) based on active power signal is designed, and its working principle, system structure and parameter setting method are introduced, the effective response frequency boundary of oscillation is also analyzed. Theoretical analysis and simulation results show that this GPSS can suppress in the whole frequency range of low frequency oscillation, and it is suitable as an auxiliary means of low frequency oscillation suppression. (CSPE) Copyright © 2017 ASME."
283,Chow P.; Walker M.,Risk mitigation strategies for emergency power upgrades in critical facilities,2019,Conference Record - Industrial and Commercial Power Systems Technical Conference,"This paper discusses risk mitigation strategies for emergency power upgrades in critical facilities, such as hospitals and data centers. Larger facilities and campuses, typically have complex emergency power systems, which rely on multiple standby generators, control systems for paralleling and automatic transfer sequences, switchgear and medium voltage power distribution systems. Integration amongst components is essential in ensuring reliable operation of the emergency power system. Given the critical nature of the loads supported by emergency power systems, downtime cannot be tolerated. There are a number of risk mitigation strategies that can be undertaken to minimize the operational risk associated with equipment upgrade projects. This paper will review successful strategies from two separate projects that involved completely upgrading emergency power systems. © 2019 IEEE."
284,Giere S.; Helbig D.; Koletzko M.; Kosse S.; Rettenmaier T.; Stiehler C.; Wenzel N.,Vacuum interrupter unit for CO2-neutral 170kV/50kA switchgear Vakuumschaltröhre für CO2-neutrale 170kV/50kA Schaltanlagen,2018,VDE-Fachtagung Hochspannungstechnik 2018,"One key enabling technology for realizing CO2-neutral switchgear for a voltage level of 145 kV and above is the vacuum interrupter technology. It has been successfully established in medium-voltage switchgear for decades. The introduction of a 145 kV climate-neutral gas-insulated switchgear as well as a climate-neutral 145 kV circuit breaker based on vacuum interrupter units and clean air as insulating medium reveals the application of the vacuum technology for future climate-neutral switchgear. The next step in this development process addresses a vacuum interrupter unit for 170 kV CO2-neutral switchgear. Thus, in this contribution the world's first single-breaking vacuum interrupter unit with 170 kV rated voltage and 50 kA rated short-circuit interruption current is presented. The dielectric performances of the vacuum interrupter unit and of the contact design are significantly improved as compared to existing 145 kV solutions. The realized conception of the contact system comprises the shape of the contact components, a significant reduction of the accelerated mass of the contact system, and a well-defined control of the contact travel curve of the driving mechanism enabling maximum short-circuit switching performance. The inner and the outer dielectric design of the vacuum interrupter unit are optimized to achieve a more compact switching tube that meets the requirements of future climate-neutral gas insulated switchgear. For this purpose, the dielectric design of the vapor shields inside the vacuum tube and of the ceramic insulators is optimized. This leads to a significant reduction of the total ceramic length. A modular construction of the vacuum interrupter unit for 170 kV climate-neutral switchgear together with a high dielectric strength in a compact design yield a major building block for new high-voltage products, such as live-tank and dead-tank breakers or GIS for 170 kV/50 kA and above. © VDE VERLAG GMBH · Berlin · Offenbach"
285,Anderson B.N.,"Modular solar systems for 24/7 scalable, flexible, affordable electricity",2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","A successful transition to a low carbon future requires that power be generated all of the time, 24/7, not just when the sun is shining. But few clean emissions power technologies can operate 24/7. Concentrated solar power (CSP) can because it can store thermal energy at 10-20% of the cost of batteries1 and can then burn fuel when its solar resource is exhausted. However, many see first generation CSP as too costly, complex, risky, and economical only at utility scale. Alternatively, by mimicking the all-factory, standardized, modular approach of wind and PV, next generation CSP with low-cost dry thermal storage (e.g., firebrick, not molten salts), and using no water/steam (just hot air) may give CSP the potential to fulfill on its promise of baseload affordability. This technical paper summarizes an Engineering and Cost Feasibility Study2 funded by the US Department of Energy as well as presents a new breakthrough power generation product based on the Brayton power tower system called 247Solar Plants™. Design, construction, and operation are all simplified with greatly reduced costs and increased deployment speeds. Such modular CSP systems can be installed as single units or 100s of modules at utility scale. The microturbines used by the system stabilize grids by responding nearly instantly, similar to battery response time, to changing power demands and voltage fluctuations, while offering dispatchable, reliable electricity. The redundancy of multiple modules in a single project increases capacity factor, operational flexibility, and project reliability. The DOE Study shows that such a system may be able to achieve the two key DOE targets included: 1) a capacity factor of at least 75%, of which >85% would be solar with <15% from fuels; and LCOE3s <9¢/kWh. Indeed, LCOEs under 6¢/kWh may be possible with further development and widespread deployment. Copyright © 2017 ASME."
286,Li P.; Ruan J.; Huang D.; Ouyang Z.; Wang D.,Experimental Analysis of Arcing Characteristic and Pressure Rise Due to Internal Short-circuit in a Closed Container; [封闭容器内部短路燃弧特性及压力升试验分析],2019,Gaodianya Jishu/High Voltage Engineering,"The internal arc fault in the metal-enclosed switchgear causes a great threat to the safety of equipment, buildings, and maintenance personnel due to the effect of high pressure. Consequently, internal short-circuit arcing tests in a closed container were carried out under different gap lengths by a series circuit of inductance (L) and capacitance (C). The arcing characteristics and the change of pressure rise in the closed container were analyzed through the measurement data, such as current, arc voltage, and pressure rise. The results show that the fluctuations of the arc voltage are intensified with the increase of pressure in the closer container. Arc voltage Root-Mean-Square (RMS) has significant randomness with the change of arc current, and increases with the adding of gap length. Arc resistance decreases with the increase of arc current, and the arc resistance per unit gap length is about 6 mΩ/cm. The pressure rise increases with the growth of arc energy, and both show a good relation with linear function. The ratio (kp) of the energy leading to pressure rise on the arc energy is about 45% and the gap length has less influence, and kp decreases with the increase of arc energy and gradually tends to stabilize. © 2019, High Voltage Engineering Editorial Department of CEPRI. All right reserved."
287,Li T.; Jia B.; Gu C.; Li X.; Zhang D.; Wang G.; Dong C.; Pang X.; Pan J.,Discharge location technology in handover test of UHV GIS,2017,ICEPE-ST 2017 - 4th International Conference on Electric Power Equipment- Switching Technology,"Discharge location is an important issue and technical guarantee for AC withstand voltage test which is the key test in the handover test of extra-high voltage (UHV) equipment. In order to ensure the smoothly processing of the equipment defect inspection as well as the elimination of hidden fault, the discharge location technique in AC withstand voltage test of 1100kV Gas insulated metal-enclosed switchgear (GIS) is studied in this paper. Firstly, the process of UHV withstand voltage test is introduced. Then concerning the characteristics of the discharge in the withstand voltage test, the feature and applicability of the existing discharge location method is analyzed. A technique for accurate discharge location by considering comprehensive multi information is proposed. Finally, an actual discharge location cases is discussed, which proves that the location based on the signal strength and the oscillation duration has good accuracy. Since summary and analysis of UHV on field case is an important experience and reference source, this research provides some reference to the subsequent UHV project construction and the equipment manufacturers. © 2017 IEEE."
288,Pan Q.; Yang F.; Yang Z.,Discussion on mechanism of the dampness and dewing inside 12 kV high-voltage switchgear and its key control techniques; [12 kV高压开关柜受潮凝露机理及防治关键技术探讨],2019,Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,"How to prevent the equipment from malfunctioning and refusing caused by moisture in the switchgear has important practical significance. On this basis, the occurrence mechanisms of moisture and dewing in the switchgear and its key technologies for prevention and control are discussed. Firstly, the structural characteristics of the switchgear and the status quo of the prevention and control of the moisture and dewing are introduced. The mechanism, causes, conditions and hazards of the dewing of the switchgear are analyzed in detail. Then, the anti-dewing related measures and improvement methods are briefly described. These methods can effectively eliminate the failures occurred in the switchgear during operation. Lastly, an investigation scheme for the mechanism of moisture and dewing in switchgear is proposed. The scheme covers the analysis of the influence factors on the phenomena of moisture and dewing in the switchgear and the construction scheme of the simulation environment for the moisture and dewing mechanism research, and moreover, in which the concept of source is adopted to design a dry gas source based dehumidification system. Based on this scheme, the mechanism of moisture and dewing and the key technologies of prevention and control for the switchgear are prospected. © 2019, Power System Protection and Control Press. All right reserved."
289,Lee T.-H.; Hong J.-W.,A study on integrated management system of switchboards through cloud service,2018,Journal of Advanced Research in Dynamical and Control Systems,"Background/Objectives: This paper is a study on the integrated management system of the switchboard through cloud service. Status information is generated through each of the switchgear units. The information includes the status of the power devices or terminals installed inside the switchgear. The status information of the switchboard is data based and encrypted for each power device in the switchboard. Based on this, the integrated management system of the switchboard is provided. Methods/Statistical analysis: Switchboards are widely used throughout industrial facilities. Because of the large impact caused in the event of an accident, this is used to configure the system to prevent accidents. The switchboard system should be monitored at all times. Because it can cause not only accidents such as breakage, explosion, fire of electric equipment, but also it can be extended to loads connected to the system, such as schools, buildings, apartment complexes and factories if it is broken. By monitoring the load in real time using the switchboard monitoring module, you can check the part where the deterioration has progressed by using the thermal camera beforehand. Findings: We propose diagnostic contents using thermal imaging camera in order to prevent accidents that may occur in this paper. Also, we propose a system that can check the status of terminals or devices provided inside the switchboard in real time. Improvements/Applications: This system can integrally manage the states of the terminals or power devices provided inside the switchgear. Therefore, it’s purpose is to provide a security and control system for a data transmission system that not only enhances accessibility to information. © 2018, Institute of Advanced Scientific Research, Inc. All rights reserved."
290,,IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference,2017,IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference,"The proceedings contain 23 papers. The topics discussed include: arc flash hazard - when over-estimating under-estimates a problem; advanced feeder protection applications; case studies of stator winding turn insulation failures in medium voltage motors; digital excitation systems - growing obsolescence of aging systems; operation and starting of PAM motors using vacuum contactors; power system study at a century-old paper mill; MV generator ground fault arcing power damage assessment; ground-fault protection - all you need to know; operation of variable frequency drive motor systems with source voltage unbalance; document management for design engineering, construction, and owner operators for the new enterprise; successful technology upgrade reduces thermo-mechanical pulp mill energy footprint; understanding of above NEMA specification options; optimization of MV distribution system designs; absence of voltage testers: a guide to listing requirements; installing, operating, and maintaining dc motors in a paper mill environment; what do you do when the lights go out?; and arc flash risks in switchgear metering compartments."
291,Ai Z.; Qin G.; Chen X.; Lin J.; He W.,Speed matching of the second rotor in a counter-rotating fan under off-design conditions,2017,"American Society of Mechanical Engineers, Power Division (Publication) POWER","A method for speed matching of the second rotor (R2) with equal power for two rotors was proposed to improve the performance of the counter-rotating fan under off-design conditions. In this method, the speed of R2 is adjusted until the power of R2 is equal to the power of the first rotor (R1). The fan performance during constant speed operation and during R2 speed matching operation is presented and discussed using theoretical analysis, numerical simulation, and experimental research. The results show that R2 speed matching improves the power and efficiency characteristics of R2. Thus, the pressure rise and power characteristics of the fan were improved. The load of R2 under low flow rates condition was decreased, and the pressure rise and efficiency of R2 under high flow rates condition were increased. The blocking condition margin increased from 37.2% to 48.0%, and the high-efficiency working range of the fan increased from 33.2% to 37.9%. Copyright © 2017 ASME."
